,index,Rozegrane mecze,Sety,Punkty,Zagrywka_Suma,Zagrywka_As,Zagrywka_Błąd,Zagrywka_Asy na set,Przyjęcie_Suma,Przyjęcie_Błąd,Przyjęcie_Neg,Przyjęcie_Perf,Przyjęcie_% perf,Atak_Suma,Atak_Błąd,Atak_Blok,Atak_Perf,Atak_% perf,Blok_Pkt,Blok_Pkt na set,Gracz,Liczba sezonów w lidze,Liczba meczy w lidze,Liczba pkt w lidze,Liczba asów w lidze,Liczba bloków w lidze
0,0,Asseco Resovia Rzeszów -BKS Visła Bydgoszcz,3.0,1.0,4.0,1.0,0.0,"0,33",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
1,1,Asseco Resovia Rzeszów -MKS Będzin,4.0,1.0,8.0,1.0,3.0,"0,25",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
2,2,Asseco Resovia Rzeszów -Grupa Azoty ZAKSA Kędzierzyn-Koźle,2.0,0.0,2.0,0.0,2.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
3,3,Asseco Resovia Rzeszów -Cerrad Enea Czarni Radom,3.0,4.0,6.0,0.0,2.0,"0,00",13.0,2.0,3.0,3.0,"23,08",4.0,0.0,0.0,4.0,"100,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
4,0,Indykpol AZS Olsztyn -Cerrad Enea Czarni Radom,5.0,5.0,16.0,0.0,4.0,"0,00",23.0,0.0,6.0,7.0,"30,43",13.0,0.0,2.0,4.0,"30,77",1.0,"0,20",Robbert Andringa,3,72,642,34,97
5,1,Indykpol AZS Olsztyn -Aluron Virtu CMC Zawiercie,4.0,10.0,12.0,0.0,3.0,"0,00",26.0,3.0,5.0,6.0,"23,08",18.0,0.0,1.0,10.0,"55,56",0.0,"0,00",Robbert Andringa,3,72,642,34,97
6,2,Indykpol AZS Olsztyn -Asseco Resovia Rzeszów,4.0,7.0,11.0,0.0,2.0,"0,00",14.0,0.0,5.0,3.0,"21,43",15.0,1.0,3.0,4.0,"26,67",3.0,"0,75",Robbert Andringa,3,72,642,34,97
7,3,Indykpol AZS Olsztyn -GKS Katowice,5.0,12.0,19.0,2.0,4.0,"0,40",21.0,1.0,5.0,2.0,"9,52",23.0,0.0,3.0,9.0,"39,13",1.0,"0,20",Robbert Andringa,3,72,642,34,97
8,4,Indykpol AZS Olsztyn -Trefl Gdańsk,2.0,1.0,6.0,0.0,2.0,"0,00",9.0,0.0,0.0,0.0,"0,00",10.0,2.0,2.0,1.0,"10,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
9,5,Indykpol AZS Olsztyn -Ślepsk Malow Suwałki,2.0,7.0,5.0,0.0,2.0,"0,00",12.0,0.0,2.0,3.0,"25,00",11.0,2.0,0.0,5.0,"45,45",2.0,"1,00",Robbert Andringa,3,72,642,34,97
10,6,Indykpol AZS Olsztyn -Cuprum Lubin,3.0,0.0,1.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
11,7,Indykpol AZS Olsztyn -BKS Visła Bydgoszcz,4.0,2.0,1.0,0.0,0.0,"0,00",5.0,0.0,1.0,2.0,"40,00",3.0,0.0,0.0,2.0,"66,67",0.0,"0,00",Robbert Andringa,3,72,642,34,97
12,8,Indykpol AZS Olsztyn -MKS Będzin,5.0,13.0,17.0,3.0,3.0,"0,60",15.0,0.0,3.0,5.0,"33,33",25.0,2.0,2.0,10.0,"40,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
13,9,Indykpol AZS Olsztyn -Grupa Azoty ZAKSA Kędzierzyn-Koźle,4.0,13.0,12.0,0.0,3.0,"0,00",12.0,0.0,3.0,2.0,"16,67",25.0,1.0,0.0,12.0,"48,00",1.0,"0,25",Robbert Andringa,3,72,642,34,97
14,10,Indykpol AZS Olsztyn -VERVA Warszawa ORLEN Paliwa,4.0,6.0,15.0,0.0,4.0,"0,00",7.0,0.0,2.0,1.0,"14,29",16.0,1.0,1.0,5.0,"31,25",1.0,"0,25",Robbert Andringa,3,72,642,34,97
15,11,Indykpol AZS Olsztyn -Jastrzębski Węgiel,3.0,5.0,11.0,0.0,4.0,"0,00",10.0,0.0,4.0,0.0,"0,00",14.0,0.0,2.0,5.0,"35,71",0.0,"0,00",Robbert Andringa,3,72,642,34,97
16,12,Indykpol AZS Olsztyn -PGE Skra Bełchatów,3.0,7.0,12.0,0.0,1.0,"0,00",17.0,2.0,1.0,7.0,"41,18",12.0,1.0,3.0,6.0,"50,00",1.0,"0,33",Robbert Andringa,3,72,642,34,97
17,13,Indykpol AZS Olsztyn -Aluron Virtu CMC Zawiercie,4.0,9.0,11.0,0.0,2.0,"0,00",26.0,2.0,6.0,7.0,"26,92",14.0,1.0,3.0,7.0,"50,00",2.0,"0,50",Robbert Andringa,3,72,642,34,97
18,14,Indykpol AZS Olsztyn -Asseco Resovia Rzeszów,4.0,8.0,10.0,0.0,3.0,"0,00",22.0,3.0,7.0,6.0,"27,27",13.0,1.0,1.0,6.0,"46,15",2.0,"0,50",Robbert Andringa,3,72,642,34,97
19,15,Indykpol AZS Olsztyn -GKS Katowice,5.0,10.0,18.0,0.0,1.0,"0,00",19.0,1.0,3.0,5.0,"26,32",13.0,0.0,0.0,7.0,"53,85",3.0,"0,60",Robbert Andringa,3,72,642,34,97
20,16,Indykpol AZS Olsztyn -Trefl Gdańsk,3.0,9.0,9.0,1.0,1.0,"0,33",20.0,1.0,10.0,2.0,"10,00",15.0,1.0,1.0,6.0,"40,00",2.0,"0,67",Robbert Andringa,3,72,642,34,97
21,17,Indykpol AZS Olsztyn -Ślepsk Malow Suwałki,4.0,13.0,13.0,1.0,4.0,"0,25",22.0,1.0,7.0,7.0,"31,82",17.0,0.0,2.0,10.0,"58,82",2.0,"0,50",Robbert Andringa,3,72,642,34,97
22,18,Indykpol AZS Olsztyn -Cuprum Lubin,3.0,9.0,17.0,0.0,2.0,"0,00",14.0,1.0,4.0,4.0,"28,57",15.0,1.0,2.0,9.0,"60,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
23,19,Indykpol AZS Olsztyn -VERVA Warszawa ORLEN Paliwa,4.0,15.0,16.0,0.0,4.0,"0,00",11.0,0.0,3.0,2.0,"18,18",29.0,1.0,3.0,14.0,"48,28",1.0,"0,25",Robbert Andringa,3,72,642,34,97
24,0,Aluron Virtu CMC Zawiercie -Cuprum Lubin,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
25,1,Aluron Virtu CMC Zawiercie -MKS Będzin,4.0,0.0,0.0,0.0,0.0,"0,00",15.0,0.0,3.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
26,2,Aluron Virtu CMC Zawiercie -Grupa Azoty ZAKSA Kędzierzyn-Koźle,4.0,0.0,0.0,0.0,0.0,"0,00",3.0,1.0,0.0,1.0,"33,33",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
27,3,Aluron Virtu CMC Zawiercie -VERVA Warszawa ORLEN Paliwa,3.0,0.0,0.0,0.0,0.0,"0,00",2.0,1.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
28,4,Aluron Virtu CMC Zawiercie -Jastrzębski Węgiel,1.0,0.0,0.0,0.0,0.0,"0,00",1.0,1.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
29,5,Aluron Virtu CMC Zawiercie -Ślepsk Malow Suwałki,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
30,6,Aluron Virtu CMC Zawiercie -Cerrad Enea Czarni Radom,4.0,0.0,0.0,0.0,0.0,"0,00",9.0,2.0,0.0,2.0,"22,22",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
31,7,Aluron Virtu CMC Zawiercie -PGE Skra Bełchatów,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
32,8,Aluron Virtu CMC Zawiercie -GKS Katowice,2.0,0.0,0.0,0.0,0.0,"0,00",20.0,3.0,7.0,3.0,"15,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
33,9,Aluron Virtu CMC Zawiercie -Trefl Gdańsk,1.0,0.0,0.0,0.0,0.0,"0,00",1.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
34,10,Aluron Virtu CMC Zawiercie -BKS Visła Bydgoszcz,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
35,11,Aluron Virtu CMC Zawiercie -Indykpol AZS Olsztyn,3.0,0.0,0.0,0.0,0.0,"0,00",2.0,0.0,1.0,1.0,"50,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
36,12,Aluron Virtu CMC Zawiercie -MKS Będzin,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
37,13,Aluron Virtu CMC Zawiercie -Grupa Azoty ZAKSA Kędzierzyn-Koźle,3.0,0.0,0.0,0.0,0.0,"0,00",14.0,0.0,4.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
38,14,Aluron Virtu CMC Zawiercie -VERVA Warszawa ORLEN Paliwa,3.0,0.0,0.0,0.0,0.0,"0,00",18.0,2.0,4.0,6.0,"33,33",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
39,15,Aluron Virtu CMC Zawiercie -GKS Katowice,2.0,0.0,0.0,0.0,0.0,"0,00",8.0,1.0,2.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
40,0,PGE Skra Bełchatów -Trefl Gdańsk,1.0,0.0,1.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Aleksander Antosiewicz,2,1,0,0,0
41,0,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Cerrad Enea Czarni Radom,3.0,0.0,0.0,0.0,0.0,"0,00",29.0,7.0,8.0,6.0,"20,69",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Korneliusz Banach,4,17,0,0,0
42,1,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Indykpol AZS Olsztyn,1.0,0.0,0.0,0.0,0.0,"0,00",1.0,0.0,0.0,1.0,"100,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Korneliusz Banach,4,17,0,0,0
43,0,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Ślepsk Malow Suwałki,3.0,2.0,2.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",4.0,1.0,1.0,1.0,"25,00",1.0,"0,33",Arpad Baróti,1,21,200,21,14
44,1,Grupa Azoty ZAKSA Kędzierzyn-Koźle -MKS Będzin,2.0,1.0,3.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",1.0,0.0,0.0,1.0,"100,00",0.0,"0,00",Arpad Baróti,1,21,200,21,14
45,2,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Jastrzębski Węgiel,2.0,1.0,1.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",2.0,0.0,0.0,1.0,"50,00",0.0,"0,00",Arpad Baróti,1,21,200,21,14
46,3,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Aluron Virtu CMC Zawiercie,4.0,19.0,17.0,4.0,5.0,"1,00",0.0,0.0,0.0,0.0,"0,00",28.0,2.0,3.0,15.0,"53,57",0.0,"0,00",Arpad Baróti,1,21,200,21,14
47,4,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Cerrad Enea Czarni Radom,2.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Arpad Baróti,1,21,200,21,14
48,5,Grupa Azoty ZAKSA Kędzierzyn-Koźle -PGE Skra Bełchatów,2.0,0.0,3.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Arpad Baróti,1,21,200,21,14
49,6,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Asseco Resovia Rzeszów,4.0,6.0,4.0,0.0,2.0,"0,00",0.0,0.0,0.0,0.0,"0,00",14.0,2.0,2.0,6.0,"42,86",0.0,"0,00",Arpad Baróti,1,21,200,21,14
50,7,Grupa Azoty ZAKSA Kędzierzyn-Koźle -GKS Katowice,4.0,19.0,16.0,2.0,3.0,"0,50",0.0,0.0,0.0,0.0,"0,00",26.0,1.0,2.0,14.0,"53,85",3.0,"0,75",Arpad Baróti,1,21,200,21,14
51,8,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Trefl Gdańsk,4.0,17.0,17.0,2.0,4.0,"0,50",0.0,0.0,0.0,0.0,"0,00",28.0,3.0,2.0,15.0,"53,57",0.0,"0,00",Arpad Baróti,1,21,200,21,14
52,9,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Indykpol AZS Olsztyn,4.0,14.0,12.0,0.0,4.0,"0,00",0.0,0.0,0.0,0.0,"0,00",22.0,1.0,3.0,13.0,"59,09",1.0,"0,25",Arpad Baróti,1,21,200,21,14
53,10,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Cuprum Lubin,3.0,9.0,11.0,1.0,1.0,"0,33",0.0,0.0,0.0,0.0,"0,00",9.0,0.0,0.0,8.0,"88,89",0.0,"0,00",Arpad Baróti,1,21,200,21,14
54,11,Grupa Azoty ZAKSA Kędzierzyn-Koźle -BKS Visła Bydgoszcz,3.0,20.0,16.0,2.0,4.0,"0,67",0.0,0.0,0.0,0.0,"0,00",29.0,3.0,2.0,17.0,"58,62",1.0,"0,33",Arpad Baróti,1,21,200,21,14
55,12,Grupa Azoty ZAKSA Kędzierzyn-Koźle -VERVA Warszawa ORLEN Paliwa,3.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Arpad Baróti,1,21,200,21,14
56,13,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Ślepsk Malow Suwałki,3.0,14.0,14.0,3.0,4.0,"1,00",0.0,0.0,0.0,0.0,"0,00",14.0,2.0,1.0,9.0,"64,29",2.0,"0,67",Arpad Baróti,1,21,200,21,14
57,14,Grupa Azoty ZAKSA Kędzierzyn-Koźle -MKS Będzin,3.0,10.0,10.0,2.0,2.0,"0,67",0.0,0.0,0.0,0.0,"0,00",19.0,2.0,3.0,8.0,"42,11",0.0,"0,00",Arpad Baróti,1,21,200,21,14
58,15,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Jastrzębski Węgiel,5.0,11.0,17.0,0.0,3.0,"0,00",1.0,1.0,0.0,0.0,"0,00",32.0,3.0,4.0,10.0,"31,25",1.0,"0,20",Arpad Baróti,1,21,200,21,14
59,16,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Aluron Virtu CMC Zawiercie,3.0,12.0,19.0,2.0,4.0,"0,67",0.0,0.0,0.0,0.0,"0,00",11.0,0.0,1.0,8.0,"72,73",2.0,"0,67",Arpad Baróti,1,21,200,21,14
60,17,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Cerrad Enea Czarni Radom,3.0,14.0,14.0,2.0,3.0,"0,67",0.0,0.0,0.0,0.0,"0,00",16.0,0.0,0.0,12.0,"75,00",0.0,"0,00",Arpad Baróti,1,21,200,21,14
61,18,Grupa Azoty ZAKSA Kędzierzyn-Koźle -PGE Skra Bełchatów,3.0,5.0,5.0,0.0,2.0,"0,00",0.0,0.0,0.0,0.0,"0,00",14.0,1.0,2.0,5.0,"35,71",0.0,"0,00",Arpad Baróti,1,21,200,21,14
62,19,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Asseco Resovia Rzeszów,3.0,10.0,11.0,0.0,5.0,"0,00",0.0,0.0,0.0,0.0,"0,00",18.0,1.0,1.0,8.0,"44,44",2.0,"0,67",Arpad Baróti,1,21,200,21,14
63,20,Grupa Azoty ZAKSA Kędzierzyn-Koźle -Cuprum Lubin,4.0,16.0,21.0,1.0,2.0,"0,25",0.0,0.0,0.0,0.0,"0,00",24.0,3.0,2.0,14.0,"58,33",1.0,"0,25",Arpad Baróti,1,21,200,21,14
64,0,Asseco Resovia Rzeszów -Ślepsk Malow Suwałki,3.0,12.0,7.0,0.0,3.0,"0,00",0.0,0.0,0.0,0.0,"0,00",25.0,2.0,2.0,12.0,"48,00",0.0,"0,00",Zbigniew Bartman,8,182,2085,121,159
65,1,Asseco Resovia Rzeszów -Indykpol AZS Olsztyn,4.0,16.0,10.0,0.0,4.0,"0,00",0.0,0.0,0.0,0.0,"0,00",42.0,3.0,5.0,16.0,"38,10",0.0,"0,00",Zbigniew Bartman,8,182,2085,121,159
66,2,Asseco Resovia Rzeszów -Cuprum Lubin,4.0,17.0,13.0,1.0,4.0,"0,25",0.0,0.0,0.0,0.0,"0,00",22.0,2.0,0.0,13.0,"59,09",3.0,"0,75",Zbigniew Bartman,8,182,2085,121,159
67,3,Asseco Resovia Rzeszów -BKS Visła Bydgoszcz,3.0,8.0,8.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",16.0,1.0,2.0,6.0,"37,50",2.0,"0,67",Zbigniew Bartman,8,182,2085,121,159
68,4,Asseco Resovia Rzeszów -MKS Będzin,5.0,18.0,16.0,0.0,5.0,"0,00",0.0,0.0,0.0,0.0,"0,00",38.0,4.0,1.0,15.0,"39,47",3.0,"0,60",Zbigniew Bartman,8,182,2085,121,159
69,5,Asseco Resovia Rzeszów -Aluron Virtu CMC Zawiercie,4.0,20.0,16.0,3.0,4.0,"0,75",1.0,0.0,0.0,0.0,"0,00",32.0,2.0,3.0,16.0,"50,00",1.0,"0,25",Zbigniew Bartman,8,182,2085,121,159
70,6,Asseco Resovia Rzeszów -Cerrad Enea Czarni Radom,4.0,18.0,15.0,0.0,6.0,"0,00",0.0,0.0,0.0,0.0,"0,00",35.0,1.0,3.0,17.0,"48,57",1.0,"0,25",Zbigniew Bartman,8,182,2085,121,159
71,7,Asseco Resovia Rzeszów -Trefl Gdańsk,3.0,10.0,11.0,1.0,0.0,"0,33",0.0,0.0,0.0,0.0,"0,00",23.0,3.0,5.0,7.0,"30,43",2.0,"0,67",Zbigniew Bartman,8,182,2085,121,159
72,8,Asseco Resovia Rzeszów -GKS Katowice,3.0,5.0,5.0,0.0,2.0,"0,00",0.0,0.0,0.0,0.0,"0,00",22.0,3.0,2.0,4.0,"18,18",1.0,"0,33",Zbigniew Bartman,8,182,2085,121,159
73,9,Asseco Resovia Rzeszów -Ślepsk Malow Suwałki,4.0,20.0,14.0,1.0,2.0,"0,25",0.0,0.0,0.0,0.0,"0,00",36.0,4.0,3.0,18.0,"50,00",1.0,"0,25",Zbigniew Bartman,8,182,2085,121,159
74,10,Asseco Resovia Rzeszów -Indykpol AZS Olsztyn,4.0,22.0,15.0,1.0,4.0,"0,25",0.0,0.0,0.0,0.0,"0,00",31.0,1.0,3.0,18.0,"58,06",3.0,"0,75",Zbigniew Bartman,8,182,2085,121,159
75,11,Asseco Resovia Rzeszów -Cuprum Lubin,3.0,13.0,9.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",24.0,1.0,3.0,12.0,"50,00",1.0,"0,33",Zbigniew Bartman,8,182,2085,121,159
76,12,Asseco Resovia Rzeszów -BKS Visła Bydgoszcz,5.0,23.0,16.0,1.0,2.0,"0,20",1.0,0.0,1.0,0.0,"0,00",38.0,2.0,4.0,22.0,"57,89",0.0,"0,00",Zbigniew Bartman,8,182,2085,121,159
77,13,Asseco Resovia Rzeszów -MKS Będzin,1.0,3.0,1.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",7.0,0.0,0.0,3.0,"42,86",0.0,"0,00",Zbigniew Bartman,8,182,2085,121,159
78,14,Asseco Resovia Rzeszów -Grupa Azoty ZAKSA Kędzierzyn-Koźle,2.0,4.0,5.0,1.0,1.0,"0,50",0.0,0.0,0.0,0.0,"0,00",8.0,0.0,1.0,3.0,"37,50",0.0,"0,00",Zbigniew Bartman,8,182,2085,121,159
79,15,Asseco Resovia Rzeszów -Cerrad Enea Czarni Radom,2.0,3.0,3.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",11.0,3.0,1.0,3.0,"27,27",0.0,"0,00",Zbigniew Bartman,8,182,2085,121,159
80,0,Cuprum Lubin -Jastrzębski Węgiel,2.0,2.0,2.0,0.0,1.0,"0,00",9.0,2.0,1.0,1.0,"11,11",6.0,0.0,2.0,2.0,"33,33",0.0,"0,00",Filip Biegun,3,34,65,4,7
81,1,Cuprum Lubin -PGE Skra Bełchatów,1.0,1.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",1.0,"1,00",Filip Biegun,3,34,65,4,7
82,2,Cuprum Lubin -Asseco Resovia Rzeszów,2.0,0.0,1.0,0.0,1.0,"0,00",4.0,0.0,0.0,0.0,"0,00",1.0,0.0,1.0,0.0,"0,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
83,3,Cuprum Lubin -Trefl Gdańsk,2.0,1.0,1.0,0.0,0.0,"0,00",2.0,0.0,1.0,0.0,"0,00",2.0,0.0,0.0,1.0,"50,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
84,4,Cuprum Lubin -Indykpol AZS Olsztyn,3.0,2.0,2.0,0.0,1.0,"0,00",5.0,0.0,1.0,4.0,"80,00",7.0,1.0,2.0,2.0,"28,57",0.0,"0,00",Filip Biegun,3,34,65,4,7
85,5,Cuprum Lubin -BKS Visła Bydgoszcz,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",4.0,0.0,1.0,0.0,"0,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
86,6,Cuprum Lubin -Grupa Azoty ZAKSA Kędzierzyn-Koźle,1.0,0.0,0.0,0.0,0.0,"0,00",1.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
87,7,Cuprum Lubin -VERVA Warszawa ORLEN Paliwa,1.0,1.0,1.0,0.0,0.0,"0,00",2.0,1.0,1.0,0.0,"0,00",1.0,0.0,0.0,1.0,"100,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
88,8,Cuprum Lubin -Aluron Virtu CMC Zawiercie,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
89,9,Cuprum Lubin -Trefl Gdańsk,1.0,1.0,4.0,0.0,1.0,"0,00",4.0,0.0,2.0,0.0,"0,00",6.0,1.0,0.0,1.0,"16,67",0.0,"0,00",Filip Biegun,3,34,65,4,7
90,10,Cuprum Lubin -Ślepsk Malow Suwałki,2.0,0.0,0.0,0.0,0.0,"0,00",2.0,1.0,0.0,1.0,"50,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Filip Biegun,3,34,65,4,7
91,0,Aluron Virtu CMC Zawiercie -MKS Będzin,4.0,25.0,13.0,1.0,5.0,"0,25",0.0,0.0,0.0,0.0,"0,00",36.0,2.0,4.0,22.0,"61,11",2.0,"0,50",Grzegorz Bociek,9,159,1862,139,138
92,1,Aluron Virtu CMC Zawiercie -Grupa Azoty ZAKSA Kędzierzyn-Koźle,4.0,16.0,16.0,1.0,4.0,"0,25",0.0,0.0,0.0,0.0,"0,00",39.0,3.0,2.0,14.0,"35,90",1.0,"0,25",Grzegorz Bociek,9,159,1862,139,138
93,2,Aluron Virtu CMC Zawiercie -VERVA Warszawa ORLEN Paliwa,3.0,0.0,5.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Grzegorz Bociek,9,159,1862,139,138
94,3,Aluron Virtu CMC Zawiercie -Jastrzębski Węgiel,2.0,8.0,8.0,1.0,0.0,"0,50",0.0,0.0,0.0,0.0,"0,00",21.0,2.0,3.0,7.0,"33,33",0.0,"0,00",Grzegorz Bociek,9,159,1862,139,138
95,4,Aluron Virtu CMC Zawiercie -Ślepsk Malow Suwałki,2.0,0.0,3.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Grzegorz Bociek,9,159,1862,139,138
96,5,Aluron Virtu CMC Zawiercie -Asseco Resovia Rzeszów,4.0,22.0,16.0,1.0,4.0,"0,25",0.0,0.0,0.0,0.0,"0,00",44.0,7.0,2.0,20.0,"45,45",1.0,"0,25",Grzegorz Bociek,9,159,1862,139,138
97,6,Aluron Virtu CMC Zawiercie -GKS Katowice,3.0,10.0,9.0,1.0,4.0,"0,33",0.0,0.0,0.0,0.0,"0,00",19.0,4.0,2.0,8.0,"42,11",1.0,"0,33",Grzegorz Bociek,9,159,1862,139,138
98,7,Aluron Virtu CMC Zawiercie -Cuprum Lubin,3.0,13.0,17.0,6.0,4.0,"2,00",0.0,0.0,0.0,0.0,"0,00",13.0,1.0,2.0,7.0,"53,85",0.0,"0,00",Grzegorz Bociek,9,159,1862,139,138
99,8,Aluron Virtu CMC Zawiercie -Indykpol AZS Olsztyn,4.0,25.0,18.0,1.0,2.0,"0,25",0.0,0.0,0.0,0.0,"0,00",45.0,2.0,6.0,21.0,"46,67",3.0,"0,75",Grzegorz Bociek,9,159,1862,139,138
100,9,Aluron Virtu CMC Zawiercie -MKS Będzin,3.0,20.0,15.0,2.0,1.0,"0,67",0.0,0.0,0.0,0.0,"0,00",32.0,3.0,3.0,16.0,"50,00",2.0,"0,67",Grzegorz Bociek,9,159,1862,139,138
101,10,Aluron Virtu CMC Zawiercie -Grupa Azoty ZAKSA Kędzierzyn-Koźle,2.0,6.0,9.0,1.0,5.0,"0,50",2.0,0.0,1.0,0.0,"0,00",16.0,3.0,2.0,5.0,"31,25",0.0,"0,00",Grzegorz Bociek,9,159,1862,139,138
102,11,Aluron Virtu CMC Zawiercie -VERVA Warszawa ORLEN Paliwa,2.0,0.0,2.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Grzegorz Bociek,9,159,1862,139,138
